               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11001,            0.019024,                   0,           0.0062908,            0.017699,          0.00088727,          0.00017631,            0.096297,            0.013163,                   0,             0.00041,             0.00041,             0.09631
                   1,            0.093597,            0.018048,                   0,            0.022874,            0.078938,             0.00602,           0.0011353,            0.089066,            0.012371,                   0,          0.00082999,          0.00082999,             0.09253
                   2,            0.082376,             0.01968,                   0,            0.068994,            0.098407,            0.021573,           0.0049752,            0.079257,            0.013121,                   0,             0.00125,             0.00125,             0.08875
                   3,            0.076478,            0.019282,                   0,             0.13856,             0.18088,            0.059884,            0.014911,            0.071388,            0.012495,                   0,           0.0016699,           0.0016699,             0.08497
                   4,            0.072189,            0.017952,                   0,             0.25641,             0.20494,             0.12231,            0.032609,            0.067069,            0.012126,                   0,           0.0020897,           0.0020897,             0.08119
                   5,            0.069712,            0.016536,                   0,             0.27369,             0.28779,             0.18368,            0.052312,            0.064481,            0.010726,                   0,           0.0025095,           0.0025095,             0.07741
                   6,            0.067338,            0.015992,                   0,             0.42407,             0.32142,             0.27477,            0.086881,            0.061432,            0.010259,                   0,           0.0029292,           0.0029292,            0.073629
                   7,            0.064884,            0.015372,                   0,             0.40601,             0.31469,             0.25303,            0.069009,            0.062861,           0.0098321,                   0,           0.0033487,           0.0033487,            0.069849
                   8,            0.063476,            0.014712,                   0,             0.50559,             0.34442,             0.32316,             0.10751,            0.059112,            0.010557,                   0,           0.0037681,           0.0037681,            0.066068
                   9,            0.062274,            0.014364,                   0,             0.53318,             0.38124,             0.37238,             0.11925,            0.056555,           0.0089545,                   0,           0.0041873,           0.0041873,            0.062287
                  10,            0.059706,             0.01383,                   0,              0.5405,             0.38159,             0.38304,             0.12308,            0.060311,           0.0090687,                   0,           0.0046064,           0.0046064,            0.058506
                  11,            0.059097,            0.014036,                   0,             0.48465,             0.32591,             0.29843,            0.083932,            0.065138,            0.010094,                   0,           0.0050252,           0.0050252,            0.054725
                  12,            0.057537,            0.013498,                   0,             0.58965,             0.45522,             0.46581,             0.15928,            0.053894,            0.009187,                   0,           0.0054438,           0.0054438,            0.050944
                  13,            0.056811,            0.013145,                   0,             0.50982,              0.4623,             0.43385,             0.13631,            0.058491,           0.0085583,                   0,           0.0058622,           0.0058622,            0.047162
                  14,            0.056358,            0.013249,                   0,             0.56666,             0.51929,             0.49256,             0.18373,            0.052006,           0.0081521,                   0,           0.0062803,           0.0062803,             0.04338
                  15,            0.055806,            0.012783,                   0,             0.54772,             0.41539,             0.42279,             0.14411,             0.05513,           0.0086233,                   0,           0.0066981,           0.0066981,            0.039598
                  16,            0.054719,            0.012645,                   0,             0.60899,             0.48425,             0.49352,               0.187,            0.052682,            0.008639,                   0,           0.0071156,           0.0071156,            0.035816
