               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.046271,            0.011182,                   0,             0.78784,             0.70796,             0.75479,             0.34429,            0.042138,           0.0064031,                   0,           0.0097191,           0.0097191,           0.0097191
                  38,            0.046511,            0.011317,                   0,             0.75063,             0.66809,             0.72226,             0.32224,            0.043428,           0.0070096,                   0,           0.0097035,           0.0097035,           0.0097035
                  39,            0.045791,            0.011062,                   0,             0.82005,             0.70124,              0.7762,             0.34962,            0.041317,            0.006211,                   0,           0.0096875,           0.0096875,           0.0096875
                  40,            0.046146,            0.010916,                   0,             0.81816,             0.70557,             0.77615,             0.34139,            0.041665,           0.0060833,                   0,            0.009671,            0.009671,            0.009671
                  41,            0.046048,            0.010927,                   0,             0.81924,             0.72425,             0.79075,             0.36337,            0.041201,           0.0065165,                   0,           0.0096542,           0.0096542,           0.0096542
                  42,            0.045697,            0.011062,                   0,             0.81201,             0.70486,             0.76925,              0.3534,            0.041196,           0.0062966,                   0,           0.0096369,           0.0096369,           0.0096369
                  43,            0.045358,            0.011082,                   0,             0.83363,             0.72212,             0.79975,             0.37673,            0.040061,           0.0061052,                   0,           0.0096193,           0.0096193,           0.0096193
                  44,            0.044578,            0.010983,                   0,             0.82257,             0.76956,             0.81098,              0.3853,            0.039559,           0.0060833,                   0,           0.0096013,           0.0096013,           0.0096013
                  45,            0.044604,            0.011093,                   0,             0.83462,              0.7539,             0.81021,              0.3853,            0.039479,           0.0059126,                   0,           0.0095828,           0.0095828,           0.0095828
                  46,            0.044595,            0.010899,                   0,               0.816,             0.71575,             0.79788,             0.37829,            0.040133,           0.0061076,                   0,            0.009564,            0.009564,            0.009564
                  47,            0.044858,            0.010838,                   0,             0.80691,             0.76034,             0.80536,             0.38175,            0.040455,           0.0060303,                   0,           0.0095448,           0.0095448,           0.0095448
                  48,            0.044222,            0.010767,                   0,             0.80765,             0.73723,             0.80007,             0.37068,             0.04038,            0.006068,                   0,           0.0095252,           0.0095252,           0.0095252
                  49,            0.044045,            0.010848,                   0,             0.82513,             0.75999,             0.81654,             0.39753,            0.038959,           0.0059294,                   0,           0.0095052,           0.0095052,           0.0095052
                  50,            0.043666,            0.010499,                   0,             0.85688,             0.77558,             0.83207,             0.40573,            0.038844,           0.0059256,                   0,           0.0094849,           0.0094849,           0.0094849
                  51,            0.043833,            0.010753,                   0,             0.84266,             0.74726,             0.81017,             0.39357,            0.038981,           0.0061717,                   0,           0.0094641,           0.0094641,           0.0094641
                  52,            0.043611,            0.010847,                   0,             0.83515,             0.78186,             0.82922,             0.41704,            0.038205,            0.005827,                   0,            0.009443,            0.009443,            0.009443
                  53,            0.043284,            0.010643,                   0,             0.86525,              0.7554,             0.82459,             0.40788,            0.038529,           0.0059255,                   0,           0.0094215,           0.0094215,           0.0094215
                  54,            0.042752,            0.010503,                   0,             0.85236,             0.80142,             0.85193,             0.42954,              0.0372,           0.0057505,                   0,           0.0093996,           0.0093996,           0.0093996
                  55,            0.042394,            0.010135,                   0,             0.83279,             0.75894,              0.8239,             0.39117,            0.038658,           0.0058963,                   0,           0.0093773,           0.0093773,           0.0093773
                  56,            0.043588,            0.010583,                   0,             0.85924,             0.78053,             0.83903,             0.41633,            0.037671,           0.0058561,                   0,           0.0093547,           0.0093547,           0.0093547
                  57,            0.042827,             0.01052,                   0,             0.81794,             0.80354,             0.84731,             0.42902,            0.037371,            0.005611,                   0,           0.0093317,           0.0093317,           0.0093317
